patent_title,patent_number,inventor,assignee,publication_date,country
AI-Based Medical Diagnosis System,US110001,John Smith,HealthTech Inc,2024-01-12,USA
Smart Traffic Management Using AI,US110002,Alice Johnson,SmartCity Labs,2023-11-02,USA
Autonomous Agricultural Drone,US110003,Rahul Kumar,AgriTech Solutions,2024-02-18,India
Blockchain Secure Banking System,US110004,Michael Lee,FinSecure Corp,2022-09-14,USA
IoT Water Quality Monitoring Device,US110005,Priya Sharma,GreenTech Pvt Ltd,2023-05-30,India
Machine Learning Crop Prediction,US110006,David Brown,AgriAI Ltd,2024-03-10,UK
Quantum Encryption Communication,US110007,Sophia Wilson,Quantum Labs,2023-07-25,Germany
Solar Powered Smart Charger,US110008,Arjun Patel,SunTech Innovations,2022-12-20,India
Wearable Heart Monitoring Device,US110009,Emily Davis,MedWear Inc,2024-04-01,Canada
Electric Vehicle Battery Cooling System,US110010,Daniel White,EV Future Corp,2023-08-17,USA
