external_id,title,abstract,authors,categories,publication_date,source,citation_count
2401.00010,Attention Is All You Need for Innovation Grant Forecasting,"We propose a transformer-based framework for predicting research grant funding success using proposal abstracts, past author publication history, and cross-disciplinary topic modeling.",Dr. Elena Rostova; Marcus Chen; Sophia Vance,cs.AI;cs.CL;cs.CY,2024-01-15,arXiv,42
2401.00025,Reinforcement Learning from Human Feedback in Commercialization Roadmaps,"An RLHF pipeline designed to align AI-assisted R&D roadmaps with strategic funding priorities and university technology transfer benchmarks.",Arthur Pendelton; Samantha Rivera,cs.AI;cs.LG,2024-02-04,arXiv,18
2402.00109,Graph Neural Networks for Patent Citation Network Analytics,"Modeling multi-decade USPTO citation graphs using temporal Graph Neural Networks to discover emergent technological domains prior to mainstream commercial funding.",Kenji Takahashi; Lisa Monroe; David Vance,cs.SI;cs.LG,2024-02-21,arXiv,67
2403.00312,Foundational Models in Scientific Discovery and Venture Capital Flow,"An empirical investigation of venture capital deployment patterns into foundational artificial intelligence models and academic spin-out organizations.",Sarah Jenkins; Rajesh Kumar,cs.CY;q-fin.GN,2024-03-10,arXiv,95
2404.00450,Multi-Modal Retrieval-Augmented Generation for Grant Proposal Review,"A comprehensive RAG architecture integrating biomedical pre-prints and clinical trial registries to assist funding reviewers in detecting innovation novelty.",Dr. Amara Okonkwo; Liam O'Connor,cs.CL;cs.IR,2024-04-02,arXiv,31
2404.00511,Zero-Shot Classification of Research Commercialization Potential,"Evaluating large language models on their capacity to classify technology readiness levels (TRL) from research pre-print abstracts.",Kevin Zhao; Maya Patel,cs.CL;cs.AI,2024-04-18,arXiv,14
2405.00670,Autonomous AI Research Agents for Literature Synthesis,"Introducing an autonomous agent framework capable of synthesizing thousands of arXiv publications into cohesive funding opportunity landscapes.",Victor Martinez; Hanako Sato,cs.MA;cs.AI,2024-05-11,arXiv,53
2406.00801,Quantum Machine Learning for Advanced Material Discovery Grants,"Exploring quantum-classical hybrid algorithms to accelerate materials discovery and optimize federal funding allocation across quantum research centers.",Dr. Rajesh Kumar; Elena Rostova,quant-ph;cs.LG,2024-06-03,arXiv,29
2406.00922,Explainable AI in Research Evaluation & Bibliometrics,"A framework for explainable artificial intelligence applied to university research impact evaluation beyond traditional h-index metrics.",Marcus Chen; David Vance,cs.CY;cs.AI,2024-06-25,arXiv,44
2407.01005,Generative Models for Synthetic Intellectual Property Generation,"Assessing the impact of generative AI on patent office examination queues and prior art search efficiency.",Samantha Rivera; Arthur Pendelton,cs.CY;cs.CL,2024-07-01,arXiv,19
